2.1	hdr			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050	
2.1	48	A320	60	1	1	1	1	1	1			3	2	2	1	1	1			1	3	3	2	2	1																																	
2.1	49	B737	60	2	2	2	2	2	2																																																	
2.1	50	A350	120	3	3	3	3	3	3																											3	2	1	1	1	1			2	2	1	1	1	1			1	1	1	1	1	1	
2.1	51	B787	120	4	4	4	4	4	4																																																	
2.1	52	A321	60	5	5	5	5	5	5																																																	
2.1	53	E190	60	1	1	1	1	1	1																																																	
2.1	54	B757	60	2	2	2	2	2	2																																																	
2.2	hdr			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050	
2.2	121	A320	60																																																							
2.2	122	B737	60									4	3	3	2	2	1																																									
2.2	123	A350	120																																																							
2.2	124	B787	120																																																							
2.3	hdr			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050	
2.3	193	A320	60																																																							
2.3	194	B737	60									4	3	3	2	2	1																																									
2.3	195	A350	120																																																							
2.3	196	B787	120																																																							
2.4	hdr			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050	
2.4	265	A320	60																																																							
2.4	266	B737	60									4	3	3	2	2	1																																									
2.4	267	A350	120																																																							
2.4	268	B787	120																																																							
2.5	hdr			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050	
2.5	337	A320	60																																																							
2.5	338	B737	60									4	3	3	2	2	1																																									
2.5	339	A350	120																																																							
2.5	340	B787	120																																																							
2.6	hdr			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050			2025	2030	2035	2040	2045	2050	
2.6	409	A320	60																																																							
2.6	410	B737	60									4	3	3	2	2	1																																									
2.6	411	A350	120																																																							
2.6	412	B787	120																																																							
